# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %   MB/s   MB/s 
    0     64     33     31     19      2      0      0      0      0   1986    350 
    0     63     33     31     16      2      0      0      0      0   5376    144 
    0     64     33     31     12      2      0      0      0      0   1792    409 
    0     62     33     31     18      2      0      0      0      0   3584      0 
    0     62     33     31     18      2      0      0      0      0      0    564 
    0     68     33     32     18      2      0      0      0      0   3584    402 
    0     62     33     31     13      2      0      0      0      0  12400    205 
    0     66     33     31     19      2      0      0      0      0      0    278 
    0     65     33     31     10      1      0      0      0      0      0    409 
    0     65     33     31     11      1      0      0      0      0   1792    205 
    0     64     33     31     17      2      0      0      0      0   3584      0 
    0     65     33     31     16      2      0      0      0      0   4178    243 
    0     63     33     31     16      2      0      0      0      0   1792   1225 
    0     65     33     31     18      2      0      0      0      0   5376      0 
    0     65     33     31     12      1      0      0      0      0   3584    201 
    0     66     33     31      8      1      0      0      0      0   1792      0 
    0     62     33     31     14      2      0      0      0      0   1792      0 
    0     63     33     31     19      3      0      0      0      0   1792    203 
    0     65     33     31     14      2      0      0      0      0   1792    409 
    0     63     33     31     11      1      0      0      0      0   7179    205 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %   MB/s   MB/s 
    0     62     33     31      9      1      0      0      0      0      0    405 
    0     64     33     31     12      2      0      0      0      0   4179    408 
    0     63     33     31     12      2      0      0      0      0   1792    202 
    0     65     33     31     12      2      0      0      0      0      0      0 
    0     62     33     32     15      2      0      0      0      0   1792    205 
    0     69     33     31     18      2      0      0      0      0      0    441 
    0     62     33     31     10      1      0      0      0      0   1792    201 
    0     64     33     31     28      4      0      0      0      0      0    205 
    0     65     33     31     11      1      0      0      0      0   5376    203 
    0     67     33     31     17      2      0      0      0      0   2410    471 
    0     66     33     31     17      2      0      0      0      0      0      0 
    0     65     32     31      4      0      0      0      0      0   3959    514 
    0     71     33     31     13      2      0      0      0      0   7168    408 
    0     65     33     31     12      2      0      0      0      0      0    204 
    0     68     33     31     14      2      0      0      0      0   1792      0 
    0     62     32     31     18      2      0      0      0      0   1792    205 
    0     63     32     31     14      2      0      0      0      0   3438    254 
    0     62     32     31     14      2      0      0      0      0    694    503 
    0     65     33     31     23      3      0      0      0      0   1792    205 
    0     63     32     31     14      2      0      0      0      0   3584    355 
    0     64     32     31     14      2      0      0      0      0      0      0 
    0     65     33     31     15      2      0      0      0      0      0    409 
    0     66     33     31     12      1      0      0      0      0   5376    205 
    0     64     33     31     14      2      0      0      0      0   5376    576 
    0     68     33     31     12      2      0      0      0      0   7168    204 
    0     63     32     31     17      2      0      0      0      0   5376    409 
    0     64     32     31      9      1      0      0      0      0    277    392 
    0     63     33     31     20      3      0      0      0      0   3039    442 
    0     63     32     31     14      2      0      0      0      0   3584    816 
    0     64     32     31      6      1      0      0      0      0  11489    613 
    0     63     33     31     18      2      0      0      0      0   1792    204 
    0     65     33     31     18      2      0      0      0      0   1640    205 
    0     64     33     31     13      2      0      0      0      0   3584    371 
    0     62     32     31     12      1      0      0      0      0   4759    219 
    0     63     32     31     13      2      0      0      0      0   6643    205 
    0     64     33     31     18      2      0      0      0      0   1792      0 
    0     65     33     31     15      2      0      0      0      0   1792      0 
    0     64     32     31     14      2      0      0      0      0   5445    201 
    0     66     33     31     17      2      0      0      0      0   1792    205 
    0     61     32     31      0      0      0      0      0      0      0      0 
    0     62     32     31      0      0      0      0      0      0      0      0 
    0     65     33     31      2      0      0      0      0      0     50     62 
    0     83     34     31      0      0      0      0      0      0     41     45 
    0     82     34     31     97      3      0      0      0      0      5     10 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %   MB/s   MB/s 
    0     78     34     31      0      0      0      0      0      0      1      0 
    0     58     33     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0     20     32 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      1      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     31      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
    0     56     32     30      0      0      0      0      0      0      0      0 
